#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version:
#C file write time: 2021-03-10 15:23:42
#
1977 #_styr
2022 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
1 #_Nsexes
10 #_Nages
1 #_N_areas
9 #_Nfleets
#_fleetinfo
#_type  surveytiming    area    units   need_catch_mult fleetname
2005    7   4   0   0   1   49.5    49.5    1.54    0   0   0   0.818182    0.181818    0   0   0   0   0   #_2616
2005    7   4   0   0   1   50.5    50.5    1.68    0   0   0   0.416667    0.5 0.0833333   0   0   0   0   #_2617
2005    7   4   0   0   1   51.5    51.5    1.54    0   0   0   0.909091    0.0909091   0   0   0   0   0   #_2618
2005    7   4   0   0   1   52.5    52.5    1.68    0   0   0   0.333333    0.583333    0.0833333   0   0   0   0   #_2619
2005    7   4   0   0   1   53.5    53.5    1.54    0   0   0.0909091   0.545455    0.272727    0   0.0909091   0   0   0   #_2620
2005    7   4   0   0   1   54.5    54.5    1.4 0   0   0   0.2 0.8 0   0   0   0   0   #_2621
2005    7   4   0   0   1   55.5    55.5    1.4 0   0   0   0.4 0.6 0   0   0   0   0   #_2622
2005    7   4   0   0   1   56.5    56.5    1.54    0   0   0   0.181818    0.636364    0.181818    0   0   0   0   #_2623
2005    7   4   0   0   1   57.5    57.5    1.68    0   0   0   0.0833333   0.666667    0.25    0   0   0   0   #_2624
2005    7   4   0   0   1   58.5    58.5    1.4 0   0   0   0   0.8 0.2 0   0   0   0   #_2625
2005    7   4   0   0   1   59.5    59.5    1.68    0   0   0   0   0.333333    0.666667    0   0   0   0   #_2626
2005    7   4   0   0   1   60.5    60.5    1.68    0   0   0   0   0.333333    0.666667    0   0   0   0   #_2627
2005    7   4   0   0   1   61.5    61.5    1.54    0   0   0   0   0.272727    0.636364    0.0909091   0   0   0   #_2628
2005    7   4   0   0   1   62.5    62.5    1.54    0   0   0   0   0.181818    0.636364    0.181818    0   0   0   #_2629
2005    7   4   0   0   1   63.5    63.5    1.26    0   0   0   0   0.444444    0.444444    0.111111    0   0   0   #_2630
2005    7   4   0   0   1   64.5    64.5    1.82    0   0   0   0   0   0.846154    0.0769231   0.0769231   0   0   #_2631
2005    7   4   0   0   1   65.5    65.5    1.54    0   0   0   0   0.272727    0.363636    0.272727    0.0909091   0   0   #_2632
2005    7   4   0   0   1   66.5    66.5    1.54    0   0   0   0   0   0.818182    0.181818    0   0   0   #_2633
2005    7   4   0   0   1   67.5    67.5    1.26    0   0   0   0   0   0.666667    0.222222    0.111111    0   0   #_2634
2005    7   4   0   0   1   68.5    68.5    1.26    0   0   0   0   0   0.555556    0.333333    0.111111    0   0   #_2635
2005    7   4   0   0   1   69.5    69.5    1.12    0   0   0   0   0   0.375   0.5 0.125   0   0   #_2636
2005    7   4   0   0   1   70.5    70.5    1.26    0   0   0   0   0   0.111111    0.555556    0.111111    0.111111    0.111111    #_2637
2005    7   4   0   0   1   71.5    71.5    0.84    0   0   0   0   0   0   0.833333    0.166667    0   0   #_2638
2005    7   4   0   0   1   72.5    72.5    0.98    0   0   0   0   0   0.142857    0.428571    0.285714    0.142857    0   #_2639
2005    7   4   0   0   1   73.5    73.5    0.14    0   0   0   0   0   0   0   1   0   0   #_2640
2005    7   4   0   0   1   74.5    74.5    0.28    0   0   0   0   0   0   0.5 0.5 0   0   #_2641
2005    7   4   0   0   1   75.5    75.5    0.42    0   0   0   0   0   0.333333    0.333333    0.333333    0   0   #_2642
2005    7   4   0   0   1   76.5    76.5    0.28    0   0   0   0   0   0   0.5 0.5 0   0   #_2643
2005    7   4   0   0   1   77.5    77.5    0.56    0   0   0   0   0   0   0.5 0.25    0.25    0   #_2644
2005    7   4   0   0   1   78.5    78.5    0.42    0   0   0   0   0   0   0.333333    0.666667    0   0   #_2645
2005    7   4   0   0   1   80.5    80.5    0.14    0   0   0   0   0   0   0   1   0   0   #_2646
2005    7   4   0   0   1   81.5    81.5    0.42    0   0   0   0   0   0   0   1   0   0   #_2647
2005    7   4   0   0   1   82.5    82.5    0.14    0   0   0   0   0   0   0   0   1   0   #_2648
2005    7   4   0   0   1   84.5    84.5    0.14    0   0   0   0   0   0   0   1   0   0   #_2649
2005    7   4   0   0   1   85.5    85.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2650
2005    7   4   0   0   1   86.5    86.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2651
2005    7   4   0   0   1   89.5    89.5    0.42    0   0   0   0   0   0   0   0   0.333333    0.666667    #_2652
2005    7   4   0   0   1   93.5    93.5    0.14    0   0   0   0   0   0   0   0   1   0   #_2653
2005    7   4   0   0   1   96.5    96.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2654
2005    7   4   0   0   1   99.5    99.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2655
2007    7   4   0   0   1   13.5    13.5    0.14    1   0   0   0   0   0   0   0   0   0   #_2656
2007    7   4   0   0   1   14.5    14.5    0.98    1   0   0   0   0   0   0   0   0   0   #_2657
2007    7   4   0   0   1   15.5    15.5    0.98    1   0   0   0   0   0   0   0   0   0   #_2658
2007    7   4   0   0   1   16.5    16.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2659
2007    7   4   0   0   1   17.5    17.5    1.26    1   0   0   0   0   0   0   0   0   0   #_2660
2007    7   4   0   0   1   18.5    18.5    1.4 1   0   0   0   0   0   0   0   0   0   #_2661
2007    7   4   0   0   1   19.5    19.5    1.12    1   0   0   0   0   0   0   0   0   0   #_2662
2007    7   4   0   0   1   20.5    20.5    1.26    1   0   0   0   0   0   0   0   0   0   #_2663
2007    7   4   0   0   1   21.5    21.5    1.12    1   0   0   0   0   0   0   0   0   0   #_2664
2007    7   4   0   0   1   22.5    22.5    1.12    1   0   0   0   0   0   0   0   0   0   #_2665
2007    7   4   0   0   1   23.5    23.5    1.26    1   0   0   0   0   0   0   0   0   0   #_2666
2007    7   4   0   0   1   24.5    24.5    0.7 1   0   0   0   0   0   0   0   0   0   #_2667
2007    7   4   0   0   1   25.5    25.5    0.84    0.833333    0.166667    0   0   0   0   0   0   0   0   #_2668
2007    7   4   0   0   1   26.5    26.5    0.28    1   0   0   0   0   0   0   0   0   0   #_2669
2007    7   4   0   0   1   27.5    27.5    0.7 0.6 0.4 0   0   0   0   0   0   0   0   #_2670
2007    7   4   0   0   1   28.5    28.5    0.14    0   1   0   0   0   0   0   0   0   0   #_2671
2007    7   4   0   0   1   29.5    29.5    0.42    0   1   0   0   0   0   0   0   0   0   #_2672
2007    7   4   0   0   1   30.5    30.5    0.7 0   1   0   0   0   0   0   0   0   0   #_2673
2007    7   4   0   0   1   31.5    31.5    0.42    0   1   0   0   0   0   0   0   0   0   #_2674
2007    7   4   0   0   1   32.5    32.5    0.56    0   1   0   0   0   0   0   0   0   0   #_2675
2007    7   4   0   0   1   33.5    33.5    0.7 0   1   0   0   0   0   0   0   0   0   #_2676
2007    7   4   0   0   1   34.5    34.5    0.56    0   0.75    0.25    0   0   0   0   0   0   0   #_2677
2007    7   4   0   0   1   35.5    35.5    0.56    0   0.75    0.25    0   0   0   0   0   0   0   #_2678
2007    7   4   0   0   1   36.5    36.5    0.7 0   0.4 0.6 0   0   0   0   0   0   0   #_2679
2007    7   4   0   0   1   37.5    37.5    0.98    0   0.714286    0.285714    0   0   0   0   0   0   0   #_2680
2007    7   4   0   0   1   38.5    38.5    0.98    0   0.571429    0.428571    0   0   0   0   0   0   0   #_2681
2007    7   4   0   0   1   39.5    39.5    0.84    0   0.333333    0.666667    0   0   0   0   0   0   0   #_2682
2007    7   4   0   0   1   40.5    40.5    0.98    0   0.142857    0.857143    0   0   0   0   0   0   0   #_2683
2007    7   4   0   0   1   41.5    41.5    1.54    0   0.0909091   0.909091    0   0   0   0   0   0   0   #_2684
2007    7   4   0   0   1   42.5    42.5    1.12    0   0.375   0.625   0   0   0   0   0   0   0   #_2685
2007    7   4   0   0   1   43.5    43.5    0.98    0   0   1   0   0   0   0   0   0   0   #_2686
2007    7   4   0   0   1   44.5    44.5    1.26    0   0   0.888889    0.111111    0   0   0   0   0   0   #_2687
2007    7   4   0   0   1   45.5    45.5    0.84    0   0   0.833333    0.166667    0   0   0   0   0   0   #_2688
2007    7   4   0   0   1   46.5    46.5    0.84    0   0   1   0   0   0   0   0   0   0   #_2689
2007    7   4   0   0   1   47.5    47.5    1.12    0   0   0.875   0.125   0   0   0   0   0   0   #_2690
2007    7   4   0   0   1   48.5    48.5    0.98    0   0   1   0   0   0   0   0   0   0   #_2691
2007    7   4   0   0   1   49.5    49.5    1.26    0   0   0.444444    0.555556    0   0   0   0   0   0   #_2692
2007    7   4   0   0   1   50.5    50.5    1.4 0   0   0.2 0.6 0.2 0   0   0   0   0   #_2693
2007    7   4   0   0   1   51.5    51.5    1.12    0   0   0.5 0.5 0   0   0   0   0   0   #_2694
2007    7   4   0   0   1   52.5    52.5    1.12    0   0   0.125   0.625   0.25    0   0   0   0   0   #_2695
2007    7   4   0   0   1   53.5    53.5    0.98    0   0   0   0.428571    0.428571    0.142857    0   0   0   0   #_2696
2007    7   4   0   0   1   54.5    54.5    1.26    0   0   0   0.777778    0.222222    0   0   0   0   0   #_2697
2007    7   4   0   0   1   55.5    55.5    1.54    0   0   0   0.727273    0.181818    0.0909091   0   0   0   0   #_2698
2007    7   4   0   0   1   56.5    56.5    1.12    0   0   0   0.375   0.5 0.125   0   0   0   0   #_2699
2007    7   4   0   0   1   57.5    57.5    1.26    0   0   0   0.333333    0.666667    0   0   0   0   0   #_2700
2007    7   4   0   0   1   58.5    58.5    1.26    0   0   0   0.444444    0.444444    0.111111    0   0   0   0   #_2701
2007    7   4   0   0   1   59.5    59.5    1.26    0   0   0   0.444444    0.222222    0.222222    0.111111    0   0   0   #_2702
2007    7   4   0   0   1   60.5    60.5    1.54    0   0   0   0.272727    0.545455    0.181818    0   0   0   0   #_2703
2007    7   4   0   0   1   61.5    61.5    1.96    0   0   0   0.428571    0.285714    0.214286    0   0.0714286   0   0   #_2704
2007    7   4   0   0   1   62.5    62.5    1.68    0   0   0   0.25    0.416667    0.166667    0.166667    0   0   0   #_2705
2007    7   4   0   0   1   63.5    63.5    1.82    0   0   0   0.153846    0.615385    0.153846    0   0.0769231   0   0   #_2706
2007    7   4   0   0   1   64.5    64.5    1.4 0   0   0   0.2 0.3 0.2 0.2 0.1 0   0   #_2707
2007    7   4   0   0   1   65.5    65.5    1.12    0   0   0   0   0.375   0.375   0.125   0.125   0   0   #_2708
2007    7   4   0   0   1   66.5    66.5    1.12    0   0   0   0.125   0.5 0.125   0.25    0   0   0   #_2709
2007    7   4   0   0   1   67.5    67.5    0.84    0   0   0   0.166667    0.166667    0.166667    0   0.5 0   0   #_2710
2007    7   4   0   0   1   68.5    68.5    1.12    0   0   0   0   0.125   0.25    0.25    0.375   0   0   #_2711
2007    7   4   0   0   1   69.5    69.5    1.26    0   0   0   0   0.222222    0.222222    0.444444    0.111111    0   0   #_2712
2007    7   4   0   0   1   70.5    70.5    0.7 0   0   0   0   0   0.2 0.6 0   0.2 0   #_2713
2007    7   4   0   0   1   71.5    71.5    1.12    0   0   0   0   0.125   0.5 0.25    0.125   0   0   #_2714
2007    7   4   0   0   1   72.5    72.5    0.7 0   0   0   0   0   0.2 0.2 0.2 0.2 0.2 #_2715
2007    7   4   0   0   1   73.5    73.5    0.56    0   0   0   0   0   0   1   0   0   0   #_2716
2007    7   4   0   0   1   74.5    74.5    0.28    0   0   0   0   0   0   1   0   0   0   #_2717
2007    7   4   0   0   1   75.5    75.5    0.7 0   0   0   0   0   0   0.6 0.4 0   0   #_2718
2007    7   4   0   0   1   76.5    76.5    0.84    0   0   0   0   0   0.166667    0.333333    0.333333    0.166667    0   #_2719
2007    7   4   0   0   1   77.5    77.5    0.28    0   0   0   0   0   0   0.5 0.5 0   0   #_2720
2007    7   4   0   0   1   79.5    79.5    0.28    0   0   0   0   0   0   0   1   0   0   #_2721
2007    7   4   0   0   1   80.5    80.5    0.42    0   0   0   0   0   0.333333    0   0.666667    0   0   #_2722
2007    7   4   0   0   1   81.5    81.5    0.14    0   0   0   0   0   0   0   1   0   0   #_2723
2007    7   4   0   0   1   82.5    82.5    0.14    0   0   0   0   0   0   0   1   0   0   #_2724
2007    7   4   0   0   1   83.5    83.5    0.28    0   0   0   0   0   0   0.5 0.5 0   0   #_2725
2007    7   4   0   0   1   84.5    84.5    0.14    0   0   0   0   0   0   1   0   0   0   #_2726
2007    7   4   0   0   1   87.5    87.5    0.14    0   0   0   0   0   0   0   0   1   0   #_2727
2007    7   4   0   0   1   89.5    89.5    0.14    0   0   0   0   0   0   1   0   0   0   #_2728
2007    7   4   0   0   1   91.5    91.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2729
2007    7   4   0   0   1   92.5    92.5    0.14    0   0   0   0   0   0   1   0   0   0   #_2730
2007    7   4   0   0   1   95.5    95.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2731
2009    7   4   0   0   1   103.5   103.5   0.14    0   0   0   0   0   0   0   0   0   1   #_2732
2009    7   4   0   0   1   11.5    11.5    0.42    1   0   0   0   0   0   0   0   0   0   #_2733
2009    7   4   0   0   1   12.5    12.5    0.42    1   0   0   0   0   0   0   0   0   0   #_2734
2009    7   4   0   0   1   13.5    13.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2735
2009    7   4   0   0   1   14.5    14.5    1.12    1   0   0   0   0   0   0   0   0   0   #_2736
2009    7   4   0   0   1   15.5    15.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2737
2009    7   4   0   0   1   16.5    16.5    0.98    1   0   0   0   0   0   0   0   0   0   #_2738
2009    7   4   0   0   1   17.5    17.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2739
2009    7   4   0   0   1   18.5    18.5    0.98    1   0   0   0   0   0   0   0   0   0   #_2740
2009    7   4   0   0   1   19.5    19.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2741
2009    7   4   0   0   1   20.5    20.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2742
2009    7   4   0   0   1   21.5    21.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2743
2009    7   4   0   0   1   22.5    22.5    0.7 0.8 0.2 0   0   0   0   0   0   0   0   #_2744
2009    7   4   0   0   1   23.5    23.5    0.56    1   0   0   0   0   0   0   0   0   0   #_2745
2009    7   4   0   0   1   24.5    24.5    0.84    0.666667    0.166667    0.166667    0   0   0   0   0   0   0   #_2746
2009    7   4   0   0   1   25.5    25.5    0.56    0.25    0.75    0   0   0   0   0   0   0   0   #_2747
2009    7   4   0   0   1   26.5    26.5    0.98    0.142857    0.714286    0.142857    0   0   0   0   0   0   0   #_2748
2009    7   4   0   0   1   27.5    27.5    0.56    0   1   0   0   0   0   0   0   0   0   #_2749
2009    7   4   0   0   1   28.5    28.5    0.56    0   1   0   0   0   0   0   0   0   0   #_2750
2009    7   4   0   0   1   29.5    29.5    0.7 0   1   0   0   0   0   0   0   0   0   #_2751
2009    7   4   0   0   1   30.5    30.5    0.7 0   1   0   0   0   0   0   0   0   0   #_2752
2009    7   4   0   0   1   31.5    31.5    0.84    0   0.833333    0.166667    0   0   0   0   0   0   0   #_2753
2009    7   4   0   0   1   32.5    32.5    1.12    0   1   0   0   0   0   0   0   0   0   #_2754
2009    7   4   0   0   1   33.5    33.5    1.12    0   1   0   0   0   0   0   0   0   0   #_2755
2009    7   4   0   0   1   34.5    34.5    0.98    0   0.571429    0.428571    0   0   0   0   0   0   0   #_2756
2009    7   4   0   0   1   35.5    35.5    1.12    0   0.75    0.25    0   0   0   0   0   0   0   #_2757
2009    7   4   0   0   1   36.5    36.5    0.98    0   0.285714    0.714286    0   0   0   0   0   0   0   #_2758
2009    7   4   0   0   1   37.5    37.5    1.4 0   0.3 0.7 0   0   0   0   0   0   0   #_2759
2009    7   4   0   0   1   38.5    38.5    1.12    0   0.125   0.875   0   0   0   0   0   0   0   #_2760
2009    7   4   0   0   1   39.5    39.5    0.98    0   0   1   0   0   0   0   0   0   0   #_2761
2009    7   4   0   0   1   40.5    40.5    1.12    0   0   1   0   0   0   0   0   0   0   #_2762
2009    7   4   0   0   1   41.5    41.5    1.12    0   0   0.875   0.125   0   0   0   0   0   0   #_2763
2009    7   4   0   0   1   42.5    42.5    1.4 0   0   0.7 0.3 0   0   0   0   0   0   #_2764
2009    7   4   0   0   1   43.5    43.5    1.12    0   0   0.875   0.125   0   0   0   0   0   0   #_2765
2009    7   4   0   0   1   44.5    44.5    1.26    0   0   1   0   0   0   0   0   0   0   #_2766
2009    7   4   0   0   1   45.5    45.5    1.54    0   0   0.818182    0.181818    0   0   0   0   0   0   #_2767
2009    7   4   0   0   1   46.5    46.5    1.26    0   0   0.777778    0.222222    0   0   0   0   0   0   #_2768
2009    7   4   0   0   1   47.5    47.5    1.26    0   0   0.888889    0.111111    0   0   0   0   0   0   #_2769
2009    7   4   0   0   1   48.5    48.5    0.98    0   0   0.571429    0.428571    0   0   0   0   0   0   #_2770
2009    7   4   0   0   1   49.5    49.5    1.12    0   0   0.375   0.625   0   0   0   0   0   0   #_2771
2009    7   4   0   0   1   50.5    50.5    1.26    0   0   0.666667    0.333333    0   0   0   0   0   0   #_2772
2009    7   4   0   0   1   51.5    51.5    1.26    0   0   0.333333    0.444444    0.222222    0   0   0   0   0   #_2773
2009    7   4   0   0   1   52.5    52.5    1.68    0   0   0.333333    0.666667    0   0   0   0   0   0   #_2774
2009    7   4   0   0   1   53.5    53.5    1.82    0   0   0.153846    0.769231    0.0769231   0   0   0   0   0   #_2775
2009    7   4   0   0   1   54.5    54.5    1.26    0   0   0.222222    0.777778    0   0   0   0   0   0   #_2776
2009    7   4   0   0   1   55.5    55.5    1.54    0   0   0   0.727273    0.272727    0   0   0   0   0   #_2777
2009    7   4   0   0   1   56.5    56.5    1.4 0   0   0.1 0.7 0.1 0.1 0   0   0   0   #_2778
2009    7   4   0   0   1   57.5    57.5    1.12    0   0   0   0.5 0.375   0.125   0   0   0   0   #_2779
2009    7   4   0   0   1   58.5    58.5    1.54    0   0   0   0.454545    0.545455    0   0   0   0   0   #_2780
2009    7   4   0   0   1   59.5    59.5    1.54    0   0   0   0.727273    0.272727    0   0   0   0   0   #_2781
2009    7   4   0   0   1   60.5    60.5    1.12    0   0   0   0.125   0.75    0.125   0   0   0   0   #_2782
2009    7   4   0   0   1   61.5    61.5    1.54    0   0   0   0.454545    0.454545    0.0909091   0   0   0   0   #_2783
2009    7   4   0   0   1   62.5    62.5    1.68    0   0   0   0.25    0.5 0.166667    0.0833333   0   0   0   #_2784
2009    7   4   0   0   1   63.5    63.5    1.82    0   0   0   0.461538    0.461538    0.0769231   0   0   0   0   #_2785
2009    7   4   0   0   1   64.5    64.5    1.82    0   0   0   0.384615    0.384615    0.230769    0   0   0   0   #_2786
2009    7   4   0   0   1   65.5    65.5    1.26    0   0   0   0.111111    0.666667    0.222222    0   0   0   0   #_2787
2009    7   4   0   0   1   66.5    66.5    1.4 0   0   0   0   0.6 0.3 0   0.1 0   0   #_2788
2009    7   4   0   0   1   67.5    67.5    1.4 0   0   0   0.2 0.2 0.5 0   0.1 0   0   #_2789
2009    7   4   0   0   1   68.5    68.5    1.12    0   0   0   0   0.5 0.25    0.125   0.125   0   0   #_2790
2009    7   4   0   0   1   69.5    69.5    1.12    0   0   0   0   0.625   0.25    0.125   0   0   0   #_2791
2009    7   4   0   0   1   7.5 7.5 0.14    1   0   0   0   0   0   0   0   0   0   #_2792
2009    7   4   0   0   1   70.5    70.5    1.4 0   0   0   0   0.7 0.3 0   0   0   0   #_2793
2009    7   4   0   0   1   71.5    71.5    0.84    0   0   0   0   0.333333    0.666667    0   0   0   0   #_2794
2009    7   4   0   0   1   72.5    72.5    0.56    0   0   0   0   0.5 0.25    0   0.25    0   0   #_2795
2009    7   4   0   0   1   73.5    73.5    1.12    0   0   0   0   0.25    0.5 0.125   0.125   0   0   #_2796
2009    7   4   0   0   1   74.5    74.5    0.7 0   0   0   0   0.4 0.2 0.4 0   0   0   #_2797
2009    7   4   0   0   1   75.5    75.5    1.12    0   0   0   0   0.125   0.375   0.375   0   0.125   0   #_2798
2009    7   4   0   0   1   76.5    76.5    0.98    0   0   0   0   0   0.285714    0.571429    0.142857    0   0   #_2799
2009    7   4   0   0   1   77.5    77.5    0.14    0   0   0   0   0   0   1   0   0   0   #_2800
2009    7   4   0   0   1   78.5    78.5    0.28    0   0   0   0   0   1   0   0   0   0   #_2801
2009    7   4   0   0   1   79.5    79.5    0.56    0   0   0   0   0   0   0.25    0.5 0.25    0   #_2802
2009    7   4   0   0   1   8.5 8.5 0.14    1   0   0   0   0   0   0   0   0   0   #_2803
2009    7   4   0   0   1   80.5    80.5    0.56    0   0   0   0   0   0.25    0.25    0   0.25    0.25    #_2804
2009    7   4   0   0   1   81.5    81.5    0.56    0   0   0   0   0   0.25    0.25    0.5 0   0   #_2805
2009    7   4   0   0   1   82.5    82.5    0.42    0   0   0   0   0   0.333333    0.333333    0.333333    0   0   #_2806
2009    7   4   0   0   1   83.5    83.5    0.42    0   0   0   0   0   0   0   0.666667    0.333333    0   #_2807
2009    7   4   0   0   1   84.5    84.5    0.14    0   0   0   0   0   0   1   0   0   0   #_2808
2009    7   4   0   0   1   87.5    87.5    0.28    0   0   0   0   0   0   0   1   0   0   #_2809
2009    7   4   0   0   1   88.5    88.5    0.14    0   0   0   0   0   0   0   1   0   0   #_2810
2009    7   4   0   0   1   89.5    89.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2811
2009    7   4   0   0   1   94.5    94.5    0.14    0   0   0   0   0   0   0   0   1   0   #_2812
2009    7   4   0   0   1   98.5    98.5    0.14    0   0   0   0   0   0   0   0   0   1   #_2813
2011    7   4   0   0   1   107.5   107.5   0.14    0   0   0   0   0   0   0   0   0   1   #_2814
2011    7   4   0   0   1   12.5    12.5    0.28    1   0   0   0   0   0   0   0   0   0   #_2815
2011    7   4   0   0   1   13.5    13.5    0.28    1   0   0   0   0   0   0   0   0   0   #_2816
2011    7   4   0   0   1   14.5    14.5    0.56    1   0   0   0   0   0   0   0   0   0   #_2817
2011    7   4   0   0   1   15.5    15.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2818
2011    7   4   0   0   1   16.5    16.5    0.7 1   0   0   0   0   0   0   0   0   0   #_2819
2011    7   4   0   0   1   17.5    17.5    0.56    1   0   0   0   0   0   0   0   0   0   #_2820
2011    7   4   0   0   1   18.5    18.5    0.7 1   0   0   0   0   0   0   0   0   0   #_2821
2011    7   4   0   0   1   19.5    19.5    0.98    1   0   0   0   0   0   0   0   0   0   #_2822
2011    7   4   0   0   1   20.5    20.5    0.84    1   0   0   0   0   0   0   0   0   0   #_2823
2011    7   4   0   0   1   21.5    21.5    0.56    1   0   0   0   0   0   0   0   0   0   #_2824
2011    7   4   0   0   1   22.5    22.5    0.98    1   0   0   0   0   0   0   0   0   0   #_2825
2011    7   4   0   0   1   23.5    23.5    0.7 1   0   0   0   0   0   0   0   0   0   #_2826
2011    7   4   0   0   1   24.5    24.5    0.84    0.833333    0.166667    0   0   0   0   0   0   0   0   #_2827
2011    7   4   0   0   1   25.5    25.5    0.42    1   0   0   0   0   0   0   0   0   0   #_2828
2011    7   4   0   0   1   26.5    26.5    0.28    0.5 0.5 0   0   0   0   0   0   0   0   #_2829
2011    7   4   0   0   1   27.5    27.5    0.7 0   1   0   0   0   0   0   0   0   0   #_2830
2011    7   4   0   0   1   28.5    28.5    0.98    0   1   0   0   0   0   0   0   0   0   #_2831
2011    7   4   0   0   1   29.5    29.5    0.84    0   1   0   0   0   0   0   0   0   0   #_2832
2011    7   4   0   0   1   30.5    30.5    1.12    0   1   0   0   0   0   0   0   0   0   #_2833
2011    7   4   0   0   1   31.5    31.5    1.82    0   1   0   0   0   0   0   0   0   0   #_2834
2011    7   4   0   0   1   32.5    32.5    1.4 0   0.9 0.1 0   0   0   0   0   0   0   #_2835
2011    7   4   0   0   1   33.5    33.5    1.54    0   0.818182    0.181818    0   0   0   0   0   0   0   #_2836
2011    7   4   0   0   1   34.5    34.5    1.68    0   0.833333    0.166667    0   0   0   0   0   0   0   #_2837
2011    7   4   0   0   1   35.5    35.5    1.4 0   0.7 0.3 0   0   0   0   0   0   0   #_2838
2011    7   4   0   0   1   36.5    36.5    2.24    0   0.625   0.375   0   0   0   0   0   0   0   #_2839
2011    7   4   0   0   1   37.5    37.5    1.68    0   0.333333    0.666667    0   0   0   0   0   0   0   #_2840
2011    7   4   0   0   1   38.5    38.5    2.24    0   0.25    0.75    0   0   0   0   0   0   0   #_2841
2011    7   4   0   0   1   39.5    39.5    2.24    0   0.3125  0.6875  0   0   0   0   0   0   0   #_2842
2011    7   4   0   0   1   40.5    40.5    2.52    0   0.166667    0.777778    0.0555556   0   0   0   0   0   0   #_2843
2011    7   4   0   0   1   41.5    41.5    2.1 0   0.0666667   0.666667    0.266667    0   0   0   0   0   0   #_2844
2011    7   4   0   0   1   42.5    42.5    1.96    0   0   0.928571    0.0714286   0   0   0   0   0   0   #_2845
2011    7   4   0   0   1   43.5    43.5    1.68    0   0   0.916667    0.0833333   0   0   0   0   0   0   #_2846
2011    7   4   0   0   1   44.5    44.5    1.96    0   0   1   0   0   0   0   0   0   0   #_2847
2011    7   4   0   0   1   45.5    45.5    2.1 0   0   0.666667    0.333333    0   0   0   0   0   0   #_2848
2011    7   4   0   0   1   46.5    46.5    2.1 0   0   0.666667    0.333333    0   0   0   0   0   0   #_2849
2011    7   4   0   0   1   47.5    47.5    2.38    0   0   0.705882    0.294118    0   0   0   0   0   0   #_2850
2011    7   4   0   0   1   48.5    48.5    2.1 0   0   0.8 0.2 0   0   0   0   0   0   #_2851
2011    7   4   0   0   1   49.5    49.5    2.52    0   0   0.444444    0.555556    0   0   0   0   0   0   #_2852
2011    7   4   0   0   1   50.5    50.5    2.66    0   0   0.631579    0.368421    0   0   0   0   0   0   #_2853
2011    7   4   0   0   1   51.5    51.5    2.38    0   0   0.411765    0.529412    0.0588235   0   0   0   0   0   #_2854
2011    7   4   0   0   1   52.5    52.5    2.52    0   0   0.277778    0.666667    0.0555556   0   0   0   0   0   #_2855
2011    7   4   0   0   1   53.5    53.5    2.1 0   0   0.0666667   0.8 0.133333    0   0   0   0   0   #_2856
2011    7   4   0   0   1   54.5    54.5    2.52    0   0   0.111111    0.5 0.333333    0.0555556   0   0   0   0   #_2857
2011    7   4   0   0   1   55.5    55.5    2.8 0   0   0.1 0.65    0.2 0.05    0   0   0   0   #_2858
2011    7   4   0   0   1   56.5    56.5    2.52    0   0   0.0555556   0.944444    0   0   0   0   0   0   #_2859
2011    7   4   0   0   1   57.5    57.5    2.52    0   0   0   0.611111    0.333333    0.0555556   0   0   0   0   #_2860
2011    7   4   0   0   1   58.5    58.5    2.66    0   0   0   0.473684    0.473684    0.0526316   0   0   0   0   #_2861
2011    7   4   0   0   1   59.5    59.5    2.52    0   0   0   0.555556    0.388889    0.0555556   0   0   0   0   #_2862
2011    7   4   0   0   1   60.5    60.5    2.52    0   0   0   0.333333    0.5 0.166667    0   0   0   0   #_2863
2011    7   4   0   0   1   61.5    61.5    2.38    0   0   0   0.411765    0.588235    0   0   0   0   0   #_2864
2011    7   4   0   0   1   62.5    62.5    3.08    0   0   0   0.272727    0.681818    0.0454545   0   0   0   0   #_2865
2011    7   4   0   0   1   63.5    63.5    2.52    0   0   0   0.166667    0.722222    0.111111    0   0   0   0   #_2866
2011    7   4   0   0   1   64.5    64.5    2.38    0   0   0   0.117647    0.705882    0.176471    0   0   0   0   #_2867
2011    7   4   0   0   1   65.5    65.5    2.52    0   0   0   0.166667    0.611111    0.222222    0   0   0   0   #_2868
